Adventist Medical Center, Hanford;36.3236205,-119.6672586
Valley Presbyterian Hospital, Van Nuys;34.1950554,-118.4636308
Valleycare Medical Center, Pleasanton;37.6944052,-121.8802082
Valleycare Medical Center, Pleasanton;37.6944052,-121.8802082
Valleycare Medical Center, Pleasanton;37.6944052,-121.8802082
Ventura County Medical Center;34.2766092,-119.2519465
Ventura County Medical Center;34.2766092,-119.2519465
Ventura County Medical Center;34.2766092,-119.2519465
Ventura County Medical Center;34.2766092,-119.2519465
Ventura County Medical Center;34.2766092,-119.2519465
Ventura County Medical Center;34.2766092,-119.2519465
Vibra Hospital of Northern California;,
Vibra Hospital of Sacramento;38.6813356,-121.1586892
Vibra Hospital of San Diego;32.7496826,-117.1600996
Victor Valley Community Hospital, Victorville;34.5362184,-117.2927641
Victor Valley Community Hospital, Victorville;34.5362184,-117.2927641
Washington Hospital, Fremont;37.5570922,-121.9810939
Washington Hospital, Fremont;37.5570922,-121.9810939
Washington Hospital, Fremont;37.5570922,-121.9810939
Watsonville Community Hospital;36.926763,-121.7930416
Watsonville Community Hospital;36.926763,-121.7930416
Watsonville Community Hospital;36.926763,-121.7930416
West Anaheim Medical Center, Anaheim;33.8255695,-117.994521
West Anaheim Medical Center, Anaheim;33.8255695,-117.994521
West Anaheim Medical Center, Anaheim;33.8255695,-117.994521
West Anaheim Medical Center, Anaheim;33.8255695,-117.994521
West Anaheim Medical Center, Anaheim;33.8255695,-117.994521
West Hills Hospital and Medical Center;34.2029255,-118.628779
Western Medical Center  Anaheim;,
Western Medical Center  Anaheim;,
Western Medical Center Santa Ana;33.7598915,-117.8847188
Western Medical Center Santa Ana;33.7598915,-117.8847188
Western Medical Center Santa Ana;33.7598915,-117.8847188
White Memorial Medical Center, Los Angeles;34.0494057,-118.2173735
White Memorial Medical Center, Los Angeles;34.0494057,-118.2173735
White Memorial Medical Center, Los Angeles;34.0494057,-118.2173735
White Memorial Medical Center, Los Angeles;34.0494057,-118.2173735
White Memorial Medical Center, Los Angeles;34.0494057,-118.2173735
White Memorial Medical Center, Los Angeles;34.0494057,-118.2173735
Whittier Hospital Medical Center;33.950382,-118.004625
Whittier Hospital Medical Center;33.950382,-118.004625
Woodland Memorial Hospital;38.6658238,-121.7917084
